,SE UniICD,System,Description
1221,9:763C,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1222,9:763D,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1223,9:763E,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1224,9:763F,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1225,9:763G,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1226,9:763H,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1227,9:763W,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1228,9:763X,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1229,9:V29,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1230,9:V29A,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1231,9:V29B,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1232,9:V29C,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1233,9:V29D,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1234,9:V29W,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1235,9:V29X,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1236,10:P50,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1237,10:P51,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1238,10:P52,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1239,10:P53,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1240,10:P54,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1241,10:P55,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1242,10:P56,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1243,10:P57,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1244,10:P58,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1245,10:P59,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1246,10:P60,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1247,10:P61,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1248,8:208,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1249,8:280,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1250,8:288,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1251,8:289,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1252,"8:289,9",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1253,8:772,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1254,"8:772,0",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1255,8:774,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1256,"8:774,9",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1257,8:775,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1258,"8:775,0",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1259,"8:775,1",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1260,"8:775,9",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1261,8:778,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1262,"8:778,0",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1263,"8:778,2",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1264,"8:778,9",Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1265,9:767,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1266,9:767A,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1267,9:772,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1268,9:772A,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1269,9:772B,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1270,9:772C,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1271,9:772D,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1272,9:772E,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1273,9:772F,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1274,9:772G,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
1275,9:772W,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
