ICD10,System,Description
M02,Diseases of the musculoskeletal system and connective tissue,Infectious arthropathies
M03,Diseases of the musculoskeletal system and connective tissue,Infectious arthropathies
M05,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M06,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M07,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M08,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M09,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M10,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M11,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M12,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M13,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M14,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M1A,Diseases of the musculoskeletal system and connective tissue,Inflammatory polyarthropathies
M15,Diseases of the musculoskeletal system and connective tissue,Arthrosis
M16,Diseases of the musculoskeletal system and connective tissue,Arthrosis
M17,Diseases of the musculoskeletal system and connective tissue,Arthrosis
M18,Diseases of the musculoskeletal system and connective tissue,Arthrosis
M19,Diseases of the musculoskeletal system and connective tissue,Arthrosis
M20,Diseases of the musculoskeletal system and connective tissue,Other joint disorders
M21,Diseases of the musculoskeletal system and connective tissue,Other joint disorders
M22,Diseases of the musculoskeletal system and connective tissue,Other joint disorders
M23,Diseases of the musculoskeletal system and connective tissue,Other joint disorders
M24,Diseases of the musculoskeletal system and connective tissue,Other joint disorders
M25,Diseases of the musculoskeletal system and connective tissue,Other joint disorders
M26,Diseases of the musculoskeletal system and connective tissue,Dentofacial anomalies (including malocclusion) and other disorders of jaw
M27,Diseases of the musculoskeletal system and connective tissue,Dentofacial anomalies (including malocclusion) and other disorders of jaw
M30,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M31,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M32,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M33,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M34,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M35,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M36,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M40,Diseases of the musculoskeletal system and connective tissue,Deforming dorsopathies
M41,Diseases of the musculoskeletal system and connective tissue,Deforming dorsopathies
M42,Diseases of the musculoskeletal system and connective tissue,Deforming dorsopathies
M43,Diseases of the musculoskeletal system and connective tissue,Deforming dorsopathies
M45,Diseases of the musculoskeletal system and connective tissue,Spondylopathies
M46,Diseases of the musculoskeletal system and connective tissue,Spondylopathies
M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies
M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies
M49,Diseases of the musculoskeletal system and connective tissue,Spondylopathies
M50,Diseases of the musculoskeletal system and connective tissue,Other dorsopathies
M51,Diseases of the musculoskeletal system and connective tissue,Other dorsopathies
M52,Diseases of the musculoskeletal system and connective tissue,Other dorsopathies
M53,Diseases of the musculoskeletal system and connective tissue,Other dorsopathies
M54,Diseases of the musculoskeletal system and connective tissue,Other dorsopathies
M60,Diseases of the musculoskeletal system and connective tissue,Disorders of muscles
M61,Diseases of the musculoskeletal system and connective tissue,Disorders of muscles
M62,Diseases of the musculoskeletal system and connective tissue,Disorders of muscles
M63,Diseases of the musculoskeletal system and connective tissue,Disorders of muscles
M65,Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon
M66,Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon
M67,Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon
M68,Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon
M70,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M71,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M72,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M73,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M74,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M75,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M76,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M77,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M78,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M79,Diseases of the musculoskeletal system and connective tissue,Other soft tissue disorders
M80,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M81,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M82,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M83,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M84,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M85,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M86,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M87,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M88,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M89,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M90,Diseases of the musculoskeletal system and connective tissue,Osteopathies
M91,Diseases of the musculoskeletal system and connective tissue,Chondropathies
M92,Diseases of the musculoskeletal system and connective tissue,Chondropathies
M93,Diseases of the musculoskeletal system and connective tissue,Chondropathies
M94,Diseases of the musculoskeletal system and connective tissue,Chondropathies
M95,Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue
M96,Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue
M97,Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue
M98,Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue
M99,Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue
N00,Diseases of the genitourinary system: urinary system,Glomerular diseases
N01,Diseases of the genitourinary system: urinary system,Glomerular diseases
N02,Diseases of the genitourinary system: urinary system,Glomerular diseases
N03,Diseases of the genitourinary system: urinary system,Glomerular diseases
N04,Diseases of the genitourinary system: urinary system,Glomerular diseases
N05,Diseases of the genitourinary system: urinary system,Glomerular diseases
N06,Diseases of the genitourinary system: urinary system,Glomerular diseases
N07,Diseases of the genitourinary system: urinary system,Glomerular diseases
N08,Diseases of the genitourinary system: urinary system,Glomerular diseases
N10,Diseases of the genitourinary system: urinary system,Renal tubulo-interstitial diseases
N11,Diseases of the genitourinary system: urinary system,Renal tubulo-interstitial diseases
N12,Diseases of the genitourinary system: urinary system,Renal tubulo-interstitial diseases
N13,Diseases of the genitourinary system: urinary system,Renal tubulo-interstitial diseases
N14,Diseases of the genitourinary system: urinary system,Renal tubulo-interstitial diseases
N15,Diseases of the genitourinary system: urinary system,Renal tubulo-interstitial diseases
N16,Diseases of the genitourinary system: urinary system,Renal tubulo-interstitial diseases
N17,Diseases of the genitourinary system: urinary system,Renal failure
N18,Diseases of the genitourinary system: urinary system,Renal failure
N19,Diseases of the genitourinary system: urinary system,Renal failure
N20,Diseases of the genitourinary system: urinary system,Urolithiasis
N21,Diseases of the genitourinary system: urinary system,Urolithiasis
N22,Diseases of the genitourinary system: urinary system,Urolithiasis
N23,Diseases of the genitourinary system: urinary system,Urolithiasis
N25,Diseases of the genitourinary system: urinary system,Other disorders of kidney and ureter
N26,Diseases of the genitourinary system: urinary system,Other disorders of kidney and ureter
N27,Diseases of the genitourinary system: urinary system,Other disorders of kidney and ureter
N28,Diseases of the genitourinary system: urinary system,Other disorders of kidney and ureter
N29,Diseases of the genitourinary system: urinary system,Other disorders of kidney and ureter
N30,Diseases of the genitourinary system: urinary system,Other diseases of urinary system
N31,Diseases of the genitourinary system: urinary system,Other diseases of urinary system
N32,Diseases of the genitourinary system: urinary system,Other diseases of urinary system
N33,Diseases of the genitourinary system: urinary system,Other diseases of urinary system
